,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
S,0.99,0.99,0.9874928876531319,0.9835629161250918,0.9784833348422963,0.972158169417381,0.9643343571508485,0.9546779822498758,0.9427940418891129,0.928229730310858,0.9104780831339283,0.8889894530604404,0.44202236082922347,0.4355429695223107,0.4286643471062765,0.4218342898743577,0.41528866401761727,0.4091328488884963,0.40340080281378077,0.39809093014325253,0.3931856444662622,0.3886611957299033,0.3844922443370206,0.38065381764854694,0.8136786206530402,0.7966333094539474,0.7801555110245733,0.7619022806203861,0.740856384147175,0.7165484007775811,0.688737115014308,0.6573208833076996,0.6223434692689674,0.5840282019465263,0.5428098198375622,0.49934748461545864,0.3630540433534636,0.3478488123005099,0.3327871546692279,0.3186472016962464,0.30577654179006486,0.29426787406422883,0.28408180533245664,0.27511937473476206,0.3737486037901403,0.35064677590737714,0.33024867123902013,0.31117186834611965,0.2929065020267438,0.27534823672137854,0.2585514653991648,0.2426128487789245,0.22762209934955355,0.2136442200129698,0.2007154272595514,0.18884472566816907,0.17801769853073704,0.1682010416609937,0.15934715425759197,0.15139842401094292,0.14429100287314817,0.13795797211320887,0.13233187090991097,0.12734661771807476,0.12293888922453725,0.11904904013580923,0.11562165200151055,0.11260579498576048,0.10995507680580076,0.10762754098992959,0.1055854642542417,0.10379509141626288,0.10222633647320521,0.10085247046064635,0.09964981040102726,0.0985974188442684,0.09767681993980888,0.09687173540634886,0.09616784195530598,0.0955525504863394
E,0.01,0.005726495726495726,0.005786387677425457,0.007243543958702538,0.009227593635214923,0.01160934297670508,0.014471897560884954,0.017943700854641878,0.022159392986925364,0.027253878502391617,0.03335856905436764,0.04059140038667275,0.028593634282072518,0.022853523759039755,0.019965683030185158,0.01826339708681111,0.017004152393632305,0.0158932357306027,0.014833300723864129,0.013804155991031644,0.012810229706042635,0.011860221303067027,0.010960702053613401,0.010115068035414693,0.014379561313537485,0.025279760840178425,0.03095424267118574,0.03597916424153286,0.04164934950041371,0.0481584655621386,0.05538921048689095,0.06313483942132372,0.07113155285265257,0.07904872066541319,0.08648559821650839,0.0929882760811297,0.07207865509926255,0.05648104209270231,0.04740550224847047,0.04128669357680649,0.0365134673390536,0.03241808919349923,0.02875027365454524,0.025426262519528182,0.03340075742316743,0.042228757347312004,0.044580384516817714,0.044605741035009756,0.04380882486079171,0.0426453701401776,0.041217624308469286,0.03954187156611587,0.03763438528347148,0.03552919398609308,0.033274570506138336,0.03092537017182053,0.028536427150354895,0.02615802968233973,0.02383327192234841,0.02159684322782293,0.019474844182787356,0.017485291958629495,0.01563904617106009,0.013940946298340707,0.012391005433612956,0.01098555305498501,0.00971826039655506,0.008581014678734584,0.007564632568636789,0.006659419423552062,0.0058555904226792405,0.005143574191137017,0.004514220505503646,0.0039589324558814585,0.0034697410386281425,0.003039337279733944,0.002661074098837072,0.002328947478947914,0.002037564229585699,0.0017821017542848819
A,0.0,0.004273504273504274,0.005226492405979586,0.005871862755546943,0.006914295496254225,0.008440125741828279,0.010450290507457702,0.01298091438479318,0.016110381359848425,0.019947206947165567,0.024619615688494925,0.030267157195938196,0.03703098740145321,0.03630259153858292,0.03337584085879236,0.030238309607933986,0.02747034463060362,0.025132060817648016,0.02313660804677768,0.02138590235685951,0.01980752608217468,0.018356274801168342,0.017006467540998264,0.015744210925643293,0.014561920718136378,0.015615451719911239,0.020958820164462967,0.026858870199539753,0.032843368057387606,0.03915854024029601,0.04604728379199999,0.05361743768585393,0.061850782459042575,0.07062273425577122,0.07971097508784597,0.08879966213489254,0.09748940874244474,0.094205046947957,0.08540341681929005,0.07580084391173622,0.06694093847814048,0.05913906180472654,0.05231495243743643,0.04630945275845701,0.04098326056299069,0.04092727713594817,0.04466351787397842,0.04809834960743565,0.05034302734318493,0.05146229025616257,0.0516929996282096,0.051232893596324436,0.05021753014878577,0.04874202380764802,0.04688277437401134,0.04471009784725996,0.042293166660961834,0.03970040048789452,0.036997786739436336,0.03424665661087788,0.031501721335359285,0.028809716439960192,0.02620873600426799,0.023728195361037575,0.021389292914744243,0.019205820635686134,0.017185179527825212,0.015329478230687636,0.013636621097427797,0.012101320723618726,0.010715995437935126,0.0094715329557306,0.008357916774725619,0.007364722314275329,0.006481496058883646,0.005698034011290668,0.005004576512279688,0.004391935738258343,0.0038515705721395383,0.0033756215191553442
I,0.0,0.0,0.001494232263463033,0.0028547295783264946,0.0040157254506753195,0.00517839708519041,0.006511240912791582,0.008130425857424527,0.010128449030403552,0.01259630918387392,0.015634510447537643,0.019356983166421614,0.02389084802339675,0.029372855708901073,0.032887052124548836,0.0342797227617785,0.034140144925972365,0.03307636524171216,0.03152743495600159,0.029764834625530003,0.027940912041716042,0.02613508544902058,0.024386149148708063,0.02271179486176416,0.02111932782258289,0.019611118548702795,0.018942592156048293,0.02035129090604648,0.023382725854389386,0.027559319149853406,0.032638829202341006,0.03853964395493112,0.045243361053229805,0.05273095843704745,0.060945797651264254,0.06977120619567984,0.07901653717382798,0.0884110751610084,0.09372144177737404,0.09429482577414397,0.09133148429725413,0.08619631799916658,0.07993796226244329,0.07324929046712082,0.0665510035452564,0.060083626323024865,0.05561772985790063,0.05385380391855788,0.05384209495185318,0.05461889739240079,0.055544299739150566,0.0562611814651449,0.05659316141684112,0.056466375449178194,0.05586329878831981,0.05479859636942139,0.053306936349172995,0.05143633925088226,0.04924374214683278,0.046791361795680525,0.04414341669287927,0.041363186855850755,0.0385105183899569,0.03563987510088138,0.032798985936414546,0.03002807657769907,0.027359624547757668,0.024818545907291514,0.02242270773458027,0.020183660902288902,0.01810749789256793,0.01619575635286602,0.014446307302291402,0.012854184792956675,0.011412329777421817,0.01011223408522353,0.008944480517958544,0.007899182283467018,0.006966329686407471,0.006136054656656723
H,0.0,0.0,0.0,2.334737911660989e-05,6.51975380422014e-05,0.00012024993872002351,0.00018697290040716092,0.0002666482374214844,0.0003622216494280075,0.00047773651089555815,0.0006181809336079124,0.0007895248091849545,0.0009988137436764677,0.001254248222288219,0.0015651978025097886,0.0018943646512597093,0.002206450290563853,0.002479528920745637,0.0027037627149994045,0.002877334885817,0.003002884910314501,0.003085121241549203,0.0031294376451873438,0.0031411975835038014,0.0031254080633654185,0.003086599409116157,0.003028804406163932,0.002967383488674843,0.002935221157418188,0.0029542201523176763,0.00303623653606065,0.003187942331092072,0.003413947072819007,0.0037180288346830804,0.004103222657769344,0.004571320472453566,0.005122079753511543,0.005752307735938244,0.006454958472488288,0.00715767090050614,0.007786422386967416,0.008294678987449858,0.008662724335667754,0.008889553524409637,0.008985106372078064,0.008964723250567486,0.008845692568297788,0.008670927874268347,0.00848922407133215,0.008328778364537664,0.008199402789278483,0.00809975294356785,0.008023063056619734,0.007960609763076748,0.007903544927427102,0.007843790669558202,0.007774451438822544,0.007689987049497313,0.007586261378451666,0.007460516006838633,0.007311290146089184,0.0071382987946769,0.006942279331527695,0.006724817220250505,0.006488161836712218,0.0062350428952366544,0.005968496530125278,0.0056917080731292095,0.005407876300301393,0.005120101705218646,0.004831299405601111,0.004544135730311554,0.0042609864071483225,0.003983913562703124,0.003714658399694104,0.003454646361302416,0.0032050017482503487,0.00296656905004991,0.0027399386253231933,0.0025254747688851736
D,0.0,0.0,0.0,0.0,1.4008427469965934e-06,5.312695029528678e-06,1.2527691352730089e-05,2.3746065377159743e-05,3.974495962244881e-05,6.147825858812926e-05,9.014244924186275e-05,0.0001272333052583375,0.00017460479380943477,0.00023453361843002283,0.000309788511767316,0.0004037003799179033,0.0005173622589934859,0.000649749276427317,0.0007985210116720552,0.0009607467745720194,0.0011333868677210395,0.0013135599623399095,0.0014986672368328617,0.0016864334955441023,0.0018749053505543304,0.0020624298343562557,0.0022476257989032253,0.002429354063273061,0.002607397072593552,0.002783510342038643,0.0029607635511777037,0.0031429377433413426,0.003334214283206867,0.0035390511075760077,0.0037621328376569924,0.004008326197123153,0.004282605425470367,0.00458993021068106,0.004935068674837355,0.005322366183186653,0.005751826437217021,0.006219011780435066,0.006716692519682058,0.007236455979822123,0.007769829191286701,0.008308935573611384,0.008846818968645434,0.009377560522743302,0.009897816195199402,0.010407169639479331,0.010906896341351592,0.011398860508708301,0.011884845685322373,0.012366229468719557,0.012843866054504162,0.013318078750149788,0.013788706190323281,0.014255173276652634,0.014716572499622473,0.015171748182329572,0.01561937914273989,0.016058056551505242,0.016486354479185856,0.016902891239077518,0.01730638027229255,0.017695669982495284,0.018069772556209483,0.018427882348017,0.018769384832404753,0.019093857410422837,0.019401063512735954,0.01969094147707202,0.019963589620890714,0.020219248805319612,0.0204582836190818,0.020681163123063447,0.02088844190474159,0.02108074200963661,0.021258736152639606,0.021423132470158996
R,0.0,0.0,0.0,0.0004436002032155879,0.0012924521947700292,0.002488402145145712,0.004032713276257377,0.005976582350465993,0.008405768124659346,0.011433660286227226,0.015200898292821738,0.019878248076083734,0.025670644892547875,0.03282117159662702,0.041613984532099746,0.05146810960412075,0.06175477544879681,0.07201810509054755,0.0819814636990841,0.09149798918911703,0.10050130989194864,0.10897043547913134,0.11690822600381917,0.12432937141576274,0.1312541249751922,0.1377051990901967,0.14370627267507158,0.14950552537695594,0.15571942310703163,0.16283141267218373,0.1711844303136309,0.18105018445216742,0.19267654190649094,0.20630617364939205,0.22217632260780212,0.2405075931996718,0.26148605662641655,0.2852411717256004,0.31182184351270914,0.3400197841317714,0.3684287054456998,0.3959943523448912,0.42206497563216594,0.4462989961902975,0.46856047340213974,0.4888389387492183,0.5071962192623992,0.5242207829829247,0.5407115448379541,0.5571882917729228,0.573886346081435,0.5908516254282734,0.6080239493464653,0.625290381799374,0.6425155523771073,0.6595583748106806,0.6762816479666869,0.6925580628787993,0.7082742453427758,0.723333484452567,0.7376573799140562,0.7511865115732279,0.7638802290011498,0.7757156913493969,0.7866863186687456,0.796799831005148,0.8060760487270762,0.814544610063439,0.8222427349479078,0.8292131331320288,0.8355021233612986,0.8411580021636796,0.8462296772032948,0.8507655618952772,0.854812714992323,0.8584162005821774,0.8616186395651836,0.864459922320351,0.8669770530656581,0.8692040986315791
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,0.4416181060338203,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,6.131103591082057e-06,0.11747061382560295,0.11747061382560295,0.11747061382560295,0.11747061382560295,0.11747061382560295,0.11747061382560295,0.11747061382560295,0.11747061382560295,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07,9.657129409030604e-07
