Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
2020-02-27,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
2020-02-28,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,3.0,,,9.0
2020-02-29,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,3.0,,,10.0
2020-03-01,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,4.0,,,11.0
2020-03-02,,,,,,,,3.0,,,,,1.0,,,,,,,,,,6.0,4.0,,,14.0
2020-03-03,,,,,,,,4.0,,,,,1.0,,,,,,,,,,8.0,5.0,,,18.0
2020-03-04,,,,,,,,4.0,,,,,4.0,,,,,,1.0,,,,11.0,6.0,,,26.0
2020-03-05,,,,,,1.0,,5.0,,,,,4.0,,,,,,,,,,14.0,3.0,,,28.0
2020-03-06,,,,,,1.0,,7.0,,,,,2.0,,,,,,,,,,15.0,3.0,,,29.0
2020-03-07,,,,,,1.0,,7.0,,,,,2.0,,,,,,,,,,16.0,,,,30.0
2020-03-08,,,,,,1.0,,9.0,,,,,3.0,,,,,,,,,,22.0,3.0,,,39.0
2020-03-09,,,,,,1.0,,13.0,,,,,4.0,,,,,,,,,,29.0,7.0,,,55.0
2020-03-10,,,,,,1.0,,18.0,,,,,4.0,,,,,,,,,,36.0,8.0,,,68.0
2020-03-11,,,,,,13.0,,20.0,,,,,6.0,,,,,,,,,,38.0,11.0,,,89.0
2020-03-12,1.0,,,,,13.0,,23.0,,,,,6.0,,,,,,,,,,43.0,12.0,,,99.0
2020-03-13,,,,,,13.0,,33.0,,,,,9.0,,,,,,,,65.0,,52.0,17.0,,,191.0
2020-03-14,,,,,,13.0,,43.0,,,,,10.0,,,,,,,,,,43.0,17.0,,,193.0
2020-03-15,,,,,,,,46.0,,,,,9.0,,,,,,,,,,62.0,22.0,,,219.0
2020-03-16,2.0,,,,,13.0,,66.0,,,7.0,,13.0,,,,,,,,,,66.0,24.0,,,257.0
2020-03-17,2.0,,,,,30.0,,75.0,,,7.0,,16.0,,,,,,,,,,95.0,29.0,,,320.0
2020-03-18,6.0,,3.0,,,40.0,11.0,78.0,,13.0,6.0,,18.0,,,,,,,,,,128.0,33.0,,,402.0
2020-03-19,17.0,1.0,,,,40.0,12.0,92.0,,18.0,6.0,,19.0,,,,,,,,155.0,,140.0,42.0,,,546.0
2020-03-20,25.0,,,,,45.0,20.0,109.0,,24.0,5.0,,21.0,,,,,,,,168.0,,152.0,47.0,1.0,,622.0
2020-03-21,,,,,,46.0,28.0,145.0,,24.0,8.0,,20.0,,,,,,,,184.0,,175.0,55.0,,,716.0
2020-03-22,,,,,,50.0,32.0,179.0,3.0,27.0,9.0,,28.0,,,,,,,,246.0,,203.0,64.0,,,872.0
2020-03-23,10.0,,7.0,,,56.0,35.0,214.0,,,13.0,,33.0,,,,,,,,261.0,1.0,223.0,70.0,,,956.0
2020-03-24,24.0,,6.0,,,58.0,35.0,238.0,3.0,29.0,16.0,,32.0,,,,,,,,285.0,1.0,266.0,80.0,,,1076.0
2020-03-25,16.0,,,,,58.0,39.0,258.0,2.0,43.0,16.0,,41.0,,,,,,,,306.0,,291.0,84.0,,,1164.0
2020-03-26,38.0,,,,,74.0,44.0,272.0,2.0,45.0,16.0,,42.0,,,,,,,,358.0,4.0,327.0,96.0,,152.0,1479.0
2020-03-27,50.0,,,,,76.0,50.0,313.0,3.0,52.0,16.0,,45.0,,,,,,,,386.0,7.0,370.0,104.0,,156.0,1637.0
2020-03-28,,,,,,79.0,67.0,339.0,3.0,,23.0,,50.0,,,,,,,,385.0,7.0,390.0,110.0,,187.0,1751.0
2020-03-29,,,,,,87.0,76.0,365.0,,,25.0,,60.0,,,,,,,,402.0,7.0,388.0,112.0,,194.0,1830.0
2020-03-30,94.0,,,112.0,,90.0,77.0,382.0,1.0,63.0,23.0,,57.0,,,,,,,,415.0,7.0,386.0,122.0,,199.0,2037.0
2020-03-31,85.0,,,111.0,,105.0,77.0,405.0,5.0,58.0,23.0,,59.0,,,,,,,,401.0,9.0,392.0,136.0,,197.0,2072.0
2020-04-01,94.0,,,115.0,,108.0,81.0,406.0,5.0,58.0,29.0,57.0,66.0,,,,,,,,396.0,10.0,390.0,139.0,,203.0,2166.0
2020-04-02,94.0,,,104.0,,119.0,80.0,424.0,5.0,59.0,27.0,66.0,61.0,,,64.0,18.0,14.0,,,374.0,4.0,386.0,135.0,,200.0,2243.0
2020-04-03,100.0,,,109.0,,115.0,77.0,424.0,5.0,60.0,25.0,49.0,61.0,,,75.0,6.0,17.0,,,370.0,6.0,375.0,144.0,,207.0,2234.0
2020-04-04,,,,113.0,,112.0,89.0,421.0,,,,49.0,,,,79.0,,,,,,6.0,,,,,2248.0
